date,structural_liquidity_bln,stress_label,stress_intensity
2014-01-01,2629.11,0,0.0
2014-01-02,2500.73,0,0.0
2014-01-03,2631.12,0,0.0
2014-01-04,2584.64,0,0.0
2014-01-05,2614.44,0,0.0
2014-01-06,2626.06,0,0.0
2014-01-07,2624.31,0,0.0
2014-01-08,2699.13,0,0.0
2014-01-09,2610.21,0,0.0
2014-01-10,2621.28,0,0.0
2014-01-11,2696.43,0,0.0
2014-01-12,2734.29,0,0.0
2014-01-13,2610.84,0,0.0
2014-01-14,2579.7,0,0.0
2014-01-15,2583.92,0,0.0
2014-01-16,2644.28,0,0.0
2014-01-17,2602.76,0,0.0
2014-01-18,2323.27,0,0.0
2014-01-19,2510.97,0,0.0
2014-01-20,2491.97,0,0.0
2014-01-21,2514.49,0,0.0
2014-01-22,2528.32,0,0.0
2014-01-23,2454.34,0,0.0
2014-01-24,2459.87,0,0.0
2014-01-25,2509.36,0,0.0
2014-01-26,2365.94,0,0.0
2014-01-27,2423.0,0,0.0
2014-01-28,2443.04,0,0.0
2014-01-29,2507.81,0,0.0
2014-01-30,2413.87,0,0.0
2014-01-31,2403.57,0,0.0
2014-02-01,2422.83,0,0.0
2014-02-02,2482.36,0,0.0
2014-02-03,2448.38,0,0.0
2014-02-04,2359.5,0,0.0
2014-02-05,2553.3,0,0.0
2014-02-06,2644.64,0,0.0
2014-02-07,2647.78,0,0.0
2014-02-08,2639.51,0,0.0
2014-02-09,2608.1,0,0.0
2014-02-10,2690.87,0,0.0
2014-02-11,2664.63,0,0.0
2014-02-12,2663.39,0,0.0
2014-02-13,2666.67,0,0.0
2014-02-14,2747.4,0,0.0
2014-02-15,2577.96,0,0.0
2014-02-16,2618.13,0,0.0
2014-02-17,2624.61,0,0.0
2014-02-18,2549.18,0,0.0
2014-02-19,2444.1,0,0.0
2014-02-20,2417.85,0,0.0
2014-02-21,2463.44,0,0.0
2014-02-22,2478.08,0,0.0
2014-02-23,2550.0,0,0.0
2014-02-24,2448.51,0,0.0
2014-02-25,2429.46,0,0.0
2014-02-26,2415.96,0,0.0
2014-02-27,2453.67,0,0.0
2014-02-28,2643.64,0,0.0
2014-03-01,2502.81,0,0.0
2014-03-02,2517.78,0,0.0
2014-03-03,2479.82,0,0.0
2014-03-04,2489.71,0,0.0
2014-03-05,2532.84,0,0.0
2014-03-06,2519.23,0,0.0
2014-03-07,2506.29,0,0.0
2014-03-08,2665.58,0,0.0
2014-03-09,2642.56,0,0.0
2014-03-10,2693.98,0,0.0
2014-03-11,2672.75,0,0.0
2014-03-12,2806.88,0,0.0
2014-03-13,2737.46,0,0.0
2014-03-14,2626.27,0,0.0
2014-03-15,2594.99,0,0.0
2014-03-16,2646.05,0,0.0
2014-03-17,2602.44,0,0.0
2014-03-18,2463.97,0,0.0
2014-03-19,2431.65,0,0.0
2014-03-20,2474.32,0,0.0
2014-03-21,2476.01,0,0.0
2014-03-22,2506.96,0,0.0
2014-03-23,2484.85,0,0.0
2014-03-24,2440.54,0,0.0
2014-03-25,2579.06,0,0.0
2014-03-26,2527.18,0,0.0
2014-03-27,2466.49,0,0.0
2014-03-28,2445.17,0,0.0
2014-03-29,2408.28,0,0.0
