date,term_days,demand_bln,allotment_bln,cut_rate,weighted_avg_rate,key_rate
2014-01-01,7,831.02,822.02,7.054,6.952,7.0
2014-01-02,7,937.13,892.7,7.071,6.984,7.012
2014-01-03,7,847.26,896.53,7.205,7.222,7.024
2014-01-04,7,1100.0,956.96,7.147,7.12,7.036
2014-01-05,7,1083.57,967.49,7.215,7.209,7.048
2014-01-06,7,1070.73,960.76,7.245,7.198,7.06
2014-01-07,7,1025.84,885.27,7.364,7.3,7.072
2014-01-08,7,983.05,967.75,7.269,7.257,7.084
2014-01-09,7,984.99,960.21,7.197,7.16,7.096
2014-01-10,7,1054.5,888.53,7.312,7.254,7.108
2014-01-11,7,967.53,879.08,7.203,7.083,7.12
2014-01-12,7,865.4,991.9,7.355,7.352,7.132
2014-01-13,7,1035.49,953.15,7.299,7.271,7.143
2014-01-14,7,921.24,918.06,7.337,7.257,7.155
2014-01-15,7,1075.9,959.04,7.175,7.183,7.167
2014-01-16,7,1063.19,982.02,7.149,7.111,7.179
2014-01-17,7,882.53,969.0,7.22,7.183,7.19
2014-01-18,7,1188.0,919.86,7.691,7.686,7.202
2014-01-19,7,1341.0,1042.08,7.471,7.455,7.213
2014-01-20,7,1315.67,1012.77,7.633,7.598,7.225
2014-01-21,7,1272.67,967.05,7.535,7.475,7.236
2014-01-22,7,1346.92,969.23,7.578,7.627,7.247
2014-01-23,7,1293.38,992.53,7.605,7.518,7.259
2014-01-24,7,1196.05,940.41,7.751,7.739,7.27
2014-01-25,7,1349.38,990.86,7.678,7.623,7.281
2014-01-26,7,1351.16,932.21,7.673,7.645,7.292
2014-01-27,7,1309.83,975.15,7.756,7.768,7.303
2014-01-28,7,1203.11,935.18,7.613,7.547,7.314
2014-01-29,7,1219.86,935.04,7.76,7.74,7.324
2014-01-30,7,1328.56,1029.5,7.757,7.72,7.335
2014-01-31,7,1235.06,971.35,7.767,7.685,7.345
2014-02-01,7,1405.09,973.58,7.693,7.706,7.356
2014-02-02,7,1080.17,892.64,7.681,7.667,7.366
2014-02-03,7,1278.68,938.56,7.657,7.585,7.376
2014-02-04,7,1224.29,971.72,7.672,7.677,7.386
2014-02-05,7,892.64,958.22,7.473,7.382,7.396
2014-02-06,7,902.08,871.63,7.586,7.534,7.406
2014-02-07,7,955.59,949.64,7.548,7.476,7.416
2014-02-08,7,1041.82,950.39,7.61,7.598,7.426
2014-02-09,7,1033.48,977.47,7.624,7.55,7.435
2014-02-10,7,875.7,904.43,7.51,7.498,7.445
2014-02-11,7,985.03,843.58,7.517,7.496,7.454
2014-02-12,7,1002.73,881.75,7.595,7.526,7.463
2014-02-13,7,1027.11,872.74,7.56,7.601,7.472
2014-02-14,7,995.59,931.37,7.56,7.473,7.481
2014-02-15,7,842.86,804.91,7.775,7.655,7.489
2014-02-16,7,972.12,878.73,7.525,7.518,7.498
2014-02-17,7,942.34,938.77,7.818,7.661,7.506
2014-02-18,7,1131.39,883.62,7.888,7.912,7.515
2014-02-19,7,1142.06,909.32,7.952,7.907,7.523
2014-02-20,7,939.99,815.18,7.95,7.829,7.531
2014-02-21,7,1038.74,811.39,7.938,7.84,7.538
2014-02-22,7,1126.99,912.75,8.029,7.897,7.546
2014-02-23,7,1076.95,861.15,7.817,7.786,7.553
2014-02-24,7,1112.8,856.59,7.898,7.782,7.561
2014-02-25,7,1110.39,809.44,7.85,7.825,7.568
2014-02-26,7,1019.32,847.95,7.789,7.724,7.575
2014-02-27,7,995.01,800.44,7.879,7.805,7.582
2014-02-28,7,1061.92,878.5,8.088,8.063,7.588
2014-03-01,7,1118.31,929.15,7.931,7.912,7.595
2014-03-02,7,1036.2,847.66,8.11,8.117,7.601
2014-03-03,7,1010.79,805.87,8.124,8.042,7.607
2014-03-04,7,970.73,737.15,8.202,8.151,7.613
2014-03-05,7,991.11,764.96,8.121,8.039,7.619
2014-03-06,7,1039.4,876.8,8.163,8.121,7.624
2014-03-07,7,1078.49,785.19,8.006,7.917,7.63
2014-03-08,7,908.84,807.46,7.803,7.732,7.635
2014-03-09,7,824.36,842.99,7.813,7.742,7.64
2014-03-10,7,1000.91,871.93,7.794,7.759,7.644
2014-03-11,7,875.4,813.45,7.811,7.761,7.649
2014-03-12,7,837.3,807.05,7.864,7.839,7.653
2014-03-13,7,889.76,824.88,7.77,7.715,7.658
2014-03-14,7,840.39,801.95,7.702,7.623,7.662
2014-03-15,7,881.16,805.74,7.845,7.804,7.666
2014-03-16,7,897.26,842.51,7.764,7.668,7.669
2014-03-17,7,856.46,837.2,7.775,7.754,7.673
2014-03-18,7,1006.32,908.28,8.014,7.95,7.676
2014-03-19,7,1118.39,852.32,7.999,7.959,7.679
2014-03-20,7,1092.33,880.84,8.121,8.082,7.682
2014-03-21,7,1075.02,806.93,8.021,8.051,7.684
2014-03-22,7,1134.44,866.96,8.13,8.099,7.687
2014-03-23,7,1028.12,827.67,8.055,8.009,7.689
2014-03-24,7,1178.06,871.45,8.034,7.949,7.691
2014-03-25,7,1140.43,886.54,8.056,8.046,7.693
2014-03-26,7,1115.27,869.21,7.941,7.878,7.694
2014-03-27,7,1204.68,956.89,8.073,7.947,7.696
2014-03-28,7,1303.45,927.93,8.115,8.055,7.697
2014-03-29,7,1121.45,924.57,8.127,8.087,7.698
2014-03-30,7,1139.2,915.62,7.941,7.85,7.699
2014-03-31,7,1119.65,956.14,7.928,7.872,7.699
2014-04-01,7,1128.53,849.71,8.007,7.953,7.7
2014-04-02,7,1166.59,953.54,8.161,8.108,7.7
2014-04-03,7,1080.12,876.44,8.068,8.079,7.7
2014-04-04,7,1101.95,896.88,7.988,7.872,7.7
2014-04-05,7,1200.68,941.7,7.933,7.985,7.699
2014-04-06,7,1135.45,970.52,7.994,7.942,7.699
2014-04-07,7,972.94,892.16,7.988,7.967,7.698
2014-04-08,7,999.27,919.62,7.922,7.878,7.697
2014-04-09,7,833.18,945.81,7.926,7.79,7.695
2014-04-10,7,1051.79,940.5,7.76,7.657,7.694
2014-04-11,7,1152.73,981.31,7.902,7.826,7.692
2014-04-12,7,1115.49,1075.83,7.892,7.892,7.69
2014-04-13,7,1124.1,974.13,7.744,7.625,7.688
2014-04-14,7,982.36,937.31,7.829,7.736,7.686
2014-04-15,7,1084.82,920.95,7.861,7.819,7.683
2014-04-16,7,970.83,957.9,7.844,7.817,7.681
2014-04-17,7,808.3,938.99,7.691,7.663,7.678
2014-04-18,7,1251.65,990.54,8.035,7.936,7.675
2014-04-19,7,1395.25,991.91,8.072,7.942,7.671
2014-04-20,7,1262.14,961.41,8.144,8.121,7.668
2014-04-21,7,1288.07,1048.26,7.961,7.982,7.664
2014-04-22,7,1236.45,953.82,7.967,7.899,7.66
2014-04-23,7,1315.04,975.77,7.989,7.882,7.656
2014-04-24,7,1266.08,1002.32,8.025,7.954,7.652
2014-04-25,7,1496.07,1010.78,8.005,7.975,7.647
2014-04-26,7,1257.48,1023.5,8.041,7.979,7.643
2014-04-27,7,1340.24,992.62,7.898,7.918,7.638
2014-04-28,7,1348.08,1012.87,8.015,8.011,7.633
2014-04-29,7,1154.4,950.9,7.918,7.877,7.628
2014-04-30,7,1241.03,1004.04,7.961,7.813,7.622
2014-05-01,7,1352.73,1000.95,8.103,8.019,7.616
2014-05-02,7,1306.28,1019.27,7.849,7.771,7.611
2014-05-03,7,1173.37,904.65,7.932,7.845,7.605
2014-05-04,7,1056.76,927.7,7.847,7.806,7.599
2014-05-05,7,1301.83,984.38,7.954,7.915,7.592
2014-05-06,7,921.29,858.63,7.82,7.686,7.586
2014-05-07,7,1007.53,964.24,7.743,7.733,7.579
2014-05-08,7,1056.74,979.49,7.713,7.664,7.572
2014-05-09,7,933.22,917.38,7.821,7.789,7.565
2014-05-10,7,919.91,917.48,7.734,7.722,7.558
2014-05-11,7,917.04,889.77,7.766,7.678,7.551
2014-05-12,7,915.42,903.8,7.75,7.763,7.543
2014-05-13,7,1101.25,899.39,7.455,7.398,7.535
2014-05-14,7,996.32,887.23,7.671,7.697,7.528
2014-05-15,7,855.59,879.76,7.583,7.489,7.52
2014-05-16,7,1080.11,890.51,7.595,7.617,7.511
2014-05-17,7,898.11,884.51,7.771,7.676,7.503
2014-05-18,7,1214.41,954.46,7.815,7.892,7.495
2014-05-19,7,1166.78,869.57,7.988,7.89,7.486
2014-05-20,7,990.03,889.99,7.715,7.718,7.477
2014-05-21,7,1066.44,852.45,7.732,7.664,7.469
2014-05-22,7,1036.63,846.83,7.87,7.856,7.459
2014-05-23,7,1032.71,802.79,7.773,7.721,7.45
2014-05-24,7,1043.07,802.61,7.816,7.711,7.441
2014-05-25,7,1024.62,810.73,7.773,7.583,7.432
2014-05-26,7,1077.4,855.01,7.761,7.836,7.422
2014-05-27,7,1195.42,882.09,7.738,7.692,7.412
2014-05-28,7,1006.84,778.02,7.767,7.57,7.403
2014-05-29,7,1041.24,817.74,7.794,7.759,7.393
2014-05-30,7,1007.31,785.84,7.862,7.846,7.383
2014-05-31,7,1163.91,821.47,7.706,7.621,7.373
2014-06-01,7,1111.46,865.75,7.681,7.595,7.362
2014-06-02,7,995.59,810.18,7.66,7.609,7.352
2014-06-03,7,918.69,822.25,7.809,7.819,7.341
2014-06-04,7,1008.92,873.31,7.736,7.691,7.331
2014-06-05,7,847.82,837.24,7.318,7.342,7.32
2014-06-06,7,826.64,793.84,7.304,7.311,7.31
2014-06-07,7,830.19,825.61,7.382,7.321,7.299
2014-06-08,7,852.86,791.08,7.456,7.328,7.288
2014-06-09,7,838.93,835.16,7.424,7.363,7.277
2014-06-10,7,819.82,839.25,7.457,7.433,7.266
2014-06-11,7,851.21,774.53,7.39,7.343,7.254
2014-06-12,7,962.48,830.05,7.505,7.487,7.243
2014-06-13,7,790.01,821.71,7.444,7.437,7.232
2014-06-14,7,906.04,847.16,7.377,7.353,7.22
2014-06-15,7,771.77,859.82,7.451,7.387,7.209
2014-06-16,7,792.59,850.39,7.216,7.192,7.197
2014-06-17,7,828.74,826.35,7.329,7.391,7.186
2014-06-18,7,1188.26,873.21,7.535,7.411,7.174
2014-06-19,7,982.91,813.87,7.561,7.535,7.163
2014-06-20,7,966.61,802.36,7.364,7.405,7.151
2014-06-21,7,943.39,741.14,7.468,7.359,7.139
2014-06-22,7,1088.58,855.15,7.509,7.509,7.127
2014-06-23,7,1006.42,833.69,7.504,7.51,7.115
2014-06-24,7,1259.41,881.38,7.548,7.425,7.103
2014-06-25,7,1003.57,803.65,7.502,7.488,7.092
2014-06-26,7,1094.0,855.3,7.425,7.361,7.08
2014-06-27,7,1113.86,899.83,7.472,7.419,7.068
2014-06-28,7,1113.1,852.82,7.39,7.323,7.056
2014-06-29,7,1243.88,908.74,7.405,7.421,7.044
2014-06-30,7,1235.43,880.5,7.445,7.39,7.032
2014-07-01,7,1093.48,904.43,7.366,7.293,7.02
2014-07-02,7,1265.67,931.96,7.386,7.314,7.008
2014-07-03,7,1248.25,949.98,7.422,7.355,6.995
2014-07-04,7,1247.25,925.29,7.39,7.286,6.983
2014-07-05,7,1134.96,898.87,7.42,7.346,6.971
2014-07-06,7,1150.25,916.51,7.496,7.452,6.959
2014-07-07,7,1290.86,959.85,7.354,7.324,6.947
2014-07-08,7,1021.23,906.65,7.048,7.059,6.935
2014-07-09,7,1105.67,940.79,7.114,7.076,6.923
2014-07-10,7,999.71,937.92,7.099,7.025,6.911
2014-07-11,7,991.41,951.96,7.099,6.998,6.899
2014-07-12,7,788.48,924.13,7.157,7.122,6.888
2014-07-13,7,827.35,898.22,6.891,6.835,6.876
2014-07-14,7,1002.72,984.55,7.135,7.081,6.864
2014-07-15,7,964.83,1003.03,7.15,7.113,6.852
2014-07-16,7,1013.85,909.18,7.036,7.012,6.84
2014-07-17,7,932.99,987.09,7.026,6.99,6.829
2014-07-18,7,1247.11,1014.0,7.148,7.089,6.817
2014-07-19,7,1231.16,998.48,7.156,7.066,6.805
2014-07-20,7,1317.46,964.2,7.2,7.119,6.794
2014-07-21,7,1156.05,946.54,7.183,7.175,6.782
2014-07-22,7,1283.71,982.79,7.179,7.107,6.771
2014-07-23,7,1271.03,988.62,7.16,7.042,6.76
2014-07-24,7,1319.33,982.92,7.17,7.178,6.748
2014-07-25,7,1301.19,972.48,7.15,7.053,6.737
2014-07-26,7,1190.94,939.73,6.994,6.946,6.726
2014-07-27,7,1123.95,990.88,7.132,7.106,6.715
2014-07-28,7,1239.77,990.65,7.203,7.153,6.704
2014-07-29,7,1241.68,978.93,7.041,6.867,6.693
2014-07-30,7,1258.19,973.17,7.152,7.122,6.682
2014-07-31,7,1241.39,1025.1,6.948,6.965,6.672
2014-08-01,7,1281.21,941.19,7.009,6.998,6.661
2014-08-02,7,1276.56,1004.3,6.949,6.793,6.651
2014-08-03,7,1112.47,929.88,7.101,7.157,6.64
2014-08-04,7,1221.3,990.24,7.111,6.995,6.63
2014-08-05,7,1192.47,990.19,6.762,6.658,6.62
2014-08-06,7,1028.29,932.14,6.853,6.843,6.61
2014-08-07,7,1128.99,995.69,6.882,6.855,6.6
2014-08-08,7,917.33,948.96,6.737,6.691,6.59
2014-08-09,7,892.08,896.66,6.741,6.662,6.58
2014-08-10,7,904.85,908.96,6.779,6.796,6.571
2014-08-11,7,1018.2,956.28,6.644,6.592,6.561
2014-08-12,7,977.48,943.44,6.711,6.582,6.552
2014-08-13,7,877.96,868.55,6.864,6.876,6.543
2014-08-14,7,913.81,895.13,6.644,6.605,6.534
2014-08-15,7,889.35,901.54,6.743,6.749,6.525
2014-08-16,7,902.12,871.1,6.708,6.687,6.516
2014-08-17,7,1100.2,965.89,6.644,6.714,6.507
2014-08-18,7,1018.11,886.13,6.867,6.801,6.499
2014-08-19,7,1129.63,870.47,6.981,6.932,6.491
2014-08-20,7,1254.98,909.14,6.877,6.863,6.482
2014-08-21,7,1066.62,849.66,6.881,6.816,6.474
2014-08-22,7,1096.16,892.87,6.945,6.935,6.467
2014-08-23,7,1067.9,794.61,6.786,6.588,6.459
2014-08-24,7,991.96,832.7,6.717,6.664,6.451
2014-08-25,7,1117.45,881.14,6.935,6.88,6.444
2014-08-26,7,1062.8,895.51,6.798,6.741,6.437
2014-08-27,7,907.4,809.89,6.851,6.757,6.43
2014-08-28,7,1009.46,802.53,6.712,6.707,6.423
2014-08-29,7,994.27,850.58,6.797,6.722,6.416
2014-08-30,7,1023.24,806.29,6.672,6.632,6.409
2014-08-31,7,1109.69,816.43,6.758,6.706,6.403
2014-09-01,7,1212.1,854.59,6.695,6.67,6.397
2014-09-02,7,1026.24,803.33,6.671,6.692,6.391
2014-09-03,7,1016.93,752.43,6.711,6.67,6.385
2014-09-04,7,1008.86,774.9,6.546,6.538,6.379
2014-09-05,7,836.27,820.4,6.431,6.388,6.374
