date,actual_balances_bln,required_reserves_bln,accounting_reserves_bln,ruonia
2014-01-01,1089.51,980.0,176.4,7.037
2014-01-02,1063.02,980.76,176.54,6.965
2014-01-03,1096.86,981.52,176.67,7.212
2014-01-04,1098.29,982.28,176.81,7.192
2014-01-05,1087.42,983.03,176.95,6.771
2014-01-06,1120.53,983.79,177.08,6.806
2014-01-07,1116.2,984.53,177.22,7.009
2014-01-08,1114.75,985.28,177.35,7.046
2014-01-09,1109.97,986.01,177.48,7.172
2014-01-10,1119.77,986.74,177.61,7.103
2014-01-11,1113.29,987.47,177.74,7.269
2014-01-12,1106.19,988.18,177.87,7.182
2014-01-13,1086.28,988.89,178.0,7.054
2014-01-14,1132.22,989.58,178.12,7.212
2014-01-15,1065.75,990.27,178.25,7.223
2014-01-16,1091.79,990.94,178.37,7.154
2014-01-17,1068.79,991.6,178.49,7.332
2014-01-18,1178.24,992.25,178.6,7.38
2014-01-19,1113.86,992.88,178.72,7.525
2014-01-20,1112.58,993.5,178.83,7.371
2014-01-21,1103.47,994.11,178.94,7.386
2014-01-22,1129.21,994.7,179.05,7.416
2014-01-23,1090.54,995.27,179.15,7.734
2014-01-24,1110.33,995.83,179.25,7.599
2014-01-25,1075.08,996.37,179.35,7.523
2014-01-26,1130.73,996.89,179.44,7.456
2014-01-27,1118.76,997.39,179.53,7.519
2014-01-28,1102.51,997.87,179.62,7.529
2014-01-29,1165.56,998.33,179.7,7.624
2014-01-30,1120.02,998.78,179.78,7.715
2014-01-31,1173.84,999.2,179.86,7.95
2014-02-01,1148.51,999.6,179.93,7.6
2014-02-02,1206.58,999.98,180.0,7.511
2014-02-03,1194.74,1000.34,180.06,7.431
2014-02-04,1162.2,1000.67,180.12,7.632
2014-02-05,1099.29,1000.99,180.18,7.532
2014-02-06,1136.65,1001.28,180.23,7.471
2014-02-07,1120.02,1001.54,180.28,7.413
2014-02-08,1123.06,1001.79,180.32,7.37
2014-02-09,1154.25,1002.0,180.36,7.47
2014-02-10,1107.78,1002.2,180.4,7.436
2014-02-11,1122.87,1002.37,180.43,7.441
2014-02-12,1137.23,1002.52,180.45,7.383
2014-02-13,1128.36,1002.64,180.48,7.578
2014-02-14,1100.6,1002.74,180.49,7.592
2014-02-15,1090.79,1002.82,180.51,7.559
2014-02-16,1051.72,1002.87,180.52,7.559
2014-02-17,1059.67,1002.89,180.52,7.436
2014-02-18,1153.24,1002.9,180.52,7.768
2014-02-19,1137.22,1002.87,180.52,7.781
2014-02-20,1136.86,1002.83,180.51,7.893
2014-02-21,1154.18,1002.76,180.5,7.962
2014-02-22,1102.61,1002.66,180.48,7.664
2014-02-23,1122.38,1002.54,180.46,7.722
2014-02-24,1132.03,1002.4,180.43,7.657
2014-02-25,1114.14,1002.24,180.4,7.663
2014-02-26,1164.24,1002.05,180.37,7.792
2014-02-27,1157.08,1001.84,180.33,8.089
2014-02-28,1148.85,1001.61,180.29,7.832
2014-03-01,1188.1,1001.35,180.24,8.004
2014-03-02,1122.34,1001.08,180.19,7.606
2014-03-03,1162.06,1000.78,180.14,7.719
2014-03-04,1177.11,1000.46,180.08,7.804
2014-03-05,1155.38,1000.12,180.02,7.939
2014-03-06,1187.88,999.77,179.96,8.038
2014-03-07,1161.75,999.39,179.89,8.072
2014-03-08,1134.97,999.0,179.82,7.636
2014-03-09,1145.4,998.58,179.74,7.541
2014-03-10,1129.02,998.15,179.67,7.65
2014-03-11,1081.67,997.7,179.59,7.548
2014-03-12,1099.07,997.24,179.5,7.5
2014-03-13,1129.25,996.76,179.42,7.6
2014-03-14,1112.48,996.26,179.33,7.649
2014-03-15,1046.82,995.75,179.24,7.769
2014-03-16,1126.63,995.23,179.14,7.643
2014-03-17,1094.88,994.7,179.05,7.658
2014-03-18,1136.13,994.15,178.95,7.796
2014-03-19,1168.3,993.59,178.85,7.948
2014-03-20,1124.05,993.02,178.74,8.085
2014-03-21,1116.95,992.44,178.64,7.995
2014-03-22,1133.98,991.85,178.53,8.035
2014-03-23,1160.37,991.25,178.43,7.816
2014-03-24,1153.26,990.65,178.32,7.8
2014-03-25,1123.22,990.04,178.21,7.819
2014-03-26,1124.71,989.42,178.1,7.801
2014-03-27,1132.66,988.79,177.98,8.082
2014-03-28,1089.73,988.17,177.87,7.988
2014-03-29,1135.0,987.54,177.76,7.993
2014-03-30,1109.26,986.9,177.64,7.963
2014-03-31,1137.91,986.27,177.53,7.906
2014-04-01,1132.04,985.64,177.41,7.951
2014-04-02,1154.58,985.0,177.3,7.938
2014-04-03,1152.72,984.37,177.19,7.977
2014-04-04,1088.85,983.73,177.07,8.038
2014-04-05,1166.18,983.1,176.96,7.79
2014-04-06,1181.35,982.48,176.85,7.732
