date,tax_name,importance
2014-01-25,НДС / акцизы,1.0
2014-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-02-25,НДС / акцизы,1.0
2014-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-03-25,НДС / акцизы,1.0
2014-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-03-31,Конец квартала,0.8
2014-04-25,НДС / акцизы,1.0
2014-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-05-25,НДС / акцизы,1.0
2014-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-06-25,НДС / акцизы,1.0
2014-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-06-30,Конец квартала,0.8
2014-07-25,НДС / акцизы,1.0
2014-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-08-25,НДС / акцизы,1.0
2014-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-09-25,НДС / акцизы,1.0
2014-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-09-30,Конец квартала,0.8
2014-10-25,НДС / акцизы,1.0
2014-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-11-25,НДС / акцизы,1.0
2014-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-12-25,НДС / акцизы,1.0
2014-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2014-12-31,Конец квартала,0.8
2015-01-25,НДС / акцизы,1.0
2015-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-02-25,НДС / акцизы,1.0
2015-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-03-25,НДС / акцизы,1.0
2015-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-03-31,Конец квартала,0.8
2015-04-25,НДС / акцизы,1.0
2015-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-05-25,НДС / акцизы,1.0
2015-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-06-25,НДС / акцизы,1.0
2015-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-06-30,Конец квартала,0.8
2015-07-25,НДС / акцизы,1.0
2015-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-08-25,НДС / акцизы,1.0
2015-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-09-25,НДС / акцизы,1.0
2015-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-09-30,Конец квартала,0.8
2015-10-25,НДС / акцизы,1.0
2015-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-11-25,НДС / акцизы,1.0
2015-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-12-25,НДС / акцизы,1.0
2015-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2015-12-31,Конец квартала,0.8
2016-01-25,НДС / акцизы,1.0
2016-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-02-25,НДС / акцизы,1.0
2016-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-03-25,НДС / акцизы,1.0
2016-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-03-31,Конец квартала,0.8
2016-04-25,НДС / акцизы,1.0
2016-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-05-25,НДС / акцизы,1.0
2016-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-06-25,НДС / акцизы,1.0
2016-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-06-30,Конец квартала,0.8
2016-07-25,НДС / акцизы,1.0
2016-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-08-25,НДС / акцизы,1.0
2016-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-09-25,НДС / акцизы,1.0
2016-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-09-30,Конец квартала,0.8
2016-10-25,НДС / акцизы,1.0
2016-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-11-25,НДС / акцизы,1.0
2016-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-12-25,НДС / акцизы,1.0
2016-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2016-12-31,Конец квартала,0.8
2017-01-25,НДС / акцизы,1.0
2017-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-02-25,НДС / акцизы,1.0
2017-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-03-25,НДС / акцизы,1.0
2017-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-03-31,Конец квартала,0.8
2017-04-25,НДС / акцизы,1.0
2017-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-05-25,НДС / акцизы,1.0
2017-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-06-25,НДС / акцизы,1.0
2017-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-06-30,Конец квартала,0.8
2017-07-25,НДС / акцизы,1.0
2017-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-08-25,НДС / акцизы,1.0
2017-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-09-25,НДС / акцизы,1.0
2017-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-09-30,Конец квартала,0.8
2017-10-25,НДС / акцизы,1.0
2017-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-11-25,НДС / акцизы,1.0
2017-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-12-25,НДС / акцизы,1.0
2017-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2017-12-31,Конец квартала,0.8
2018-01-25,НДС / акцизы,1.0
2018-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-02-25,НДС / акцизы,1.0
2018-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-03-25,НДС / акцизы,1.0
2018-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-03-31,Конец квартала,0.8
2018-04-25,НДС / акцизы,1.0
2018-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-05-25,НДС / акцизы,1.0
2018-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-06-25,НДС / акцизы,1.0
2018-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-06-30,Конец квартала,0.8
2018-07-25,НДС / акцизы,1.0
2018-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-08-25,НДС / акцизы,1.0
2018-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-09-25,НДС / акцизы,1.0
2018-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-09-30,Конец квартала,0.8
2018-10-25,НДС / акцизы,1.0
2018-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-11-25,НДС / акцизы,1.0
2018-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-12-25,НДС / акцизы,1.0
2018-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2018-12-31,Конец квартала,0.8
2019-01-25,НДС / акцизы,1.0
2019-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-02-25,НДС / акцизы,1.0
2019-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-03-25,НДС / акцизы,1.0
2019-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-03-31,Конец квартала,0.8
2019-04-25,НДС / акцизы,1.0
2019-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-05-25,НДС / акцизы,1.0
2019-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-06-25,НДС / акцизы,1.0
2019-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-06-30,Конец квартала,0.8
2019-07-25,НДС / акцизы,1.0
2019-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-08-25,НДС / акцизы,1.0
2019-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-09-25,НДС / акцизы,1.0
2019-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-09-30,Конец квартала,0.8
2019-10-25,НДС / акцизы,1.0
2019-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-11-25,НДС / акцизы,1.0
2019-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-12-25,НДС / акцизы,1.0
2019-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2019-12-31,Конец квартала,0.8
2020-01-25,НДС / акцизы,1.0
2020-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-02-25,НДС / акцизы,1.0
2020-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-03-25,НДС / акцизы,1.0
2020-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-03-31,Конец квартала,0.8
2020-04-25,НДС / акцизы,1.0
2020-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-05-25,НДС / акцизы,1.0
2020-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-06-25,НДС / акцизы,1.0
2020-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-06-30,Конец квартала,0.8
2020-07-25,НДС / акцизы,1.0
2020-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-08-25,НДС / акцизы,1.0
2020-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-09-25,НДС / акцизы,1.0
2020-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-09-30,Конец квартала,0.8
2020-10-25,НДС / акцизы,1.0
2020-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-11-25,НДС / акцизы,1.0
2020-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-12-25,НДС / акцизы,1.0
2020-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2020-12-31,Конец квартала,0.8
2021-01-25,НДС / акцизы,1.0
2021-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-02-25,НДС / акцизы,1.0
2021-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-03-25,НДС / акцизы,1.0
2021-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-03-31,Конец квартала,0.8
2021-04-25,НДС / акцизы,1.0
2021-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-05-25,НДС / акцизы,1.0
2021-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-06-25,НДС / акцизы,1.0
2021-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-06-30,Конец квартала,0.8
2021-07-25,НДС / акцизы,1.0
2021-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-08-25,НДС / акцизы,1.0
2021-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-09-25,НДС / акцизы,1.0
2021-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-09-30,Конец квартала,0.8
2021-10-25,НДС / акцизы,1.0
2021-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-11-25,НДС / акцизы,1.0
